never,rarely,sometimes,frequently,always,mask_score,Location
0.019,0.008,0.055,0.12300000000000001,0.795,3.6670000000000003,Alameda_CA
0.025,0.085,0.08800000000000001,0.19,0.612,3.279,Alpine_CA
0.045,0.013000000000000001,0.099,0.188,0.655,3.3950000000000005,Amador_CA
0.015,0.043,0.111,0.204,0.626,3.3810000000000002,Butte_CA
0.045,0.019,0.098,0.276,0.562,3.2910000000000004,Calaveras_CA
0.027000000000000003,0.031,0.092,0.151,0.7,3.468,Colusa_CA
0.018000000000000002,0.016,0.039,0.121,0.8059999999999999,3.6809999999999996,Contra Costa_CA
0.01,0.135,0.11199999999999999,0.196,0.547,3.1350000000000002,Del Norte_CA
0.027999999999999997,0.042,0.07200000000000001,0.183,0.675,3.435,El Dorado_CA
0.021,0.022000000000000002,0.059000000000000004,0.156,0.741,3.572,Fresno_CA
0.027999999999999997,0.026000000000000002,0.146,0.20600000000000002,0.594,3.3120000000000003,Glenn_CA
0.042,0.006,0.018000000000000002,0.069,0.865,3.709,Humboldt_CA
0.001,0.005,0.03,0.128,0.836,3.7929999999999997,Imperial_CA
0.033,0.011000000000000001,0.008,0.057999999999999996,0.889,3.757,Inyo_CA
0.022000000000000002,0.027999999999999997,0.105,0.177,0.6679999999999999,3.441,Kern_CA
0.075,0.016,0.049,0.094,0.7659999999999999,3.4599999999999995,Kings_CA
0.003,0.004,0.006999999999999999,0.136,0.8490000000000001,3.8220000000000005,Lake_CA
0.064,0.068,0.162,0.225,0.48200000000000004,2.995,Lassen_CA
0.021,0.013000000000000001,0.049,0.131,0.7859999999999999,3.6479999999999997,Los Angeles_CA
0.019,0.059000000000000004,0.048,0.124,0.7509999999999999,3.5309999999999997,Madera_CA
0.011000000000000001,0.0,0.046,0.141,0.802,3.723,Marin_CA
0.01,0.094,0.049,0.18600000000000003,0.6609999999999999,3.3939999999999997,Mariposa_CA
0.002,0.003,0.004,0.222,0.77,3.757,Mendocino_CA
0.026000000000000002,0.036000000000000004,0.08900000000000001,0.146,0.703,3.4639999999999995,Merced_CA
0.068,0.019,0.095,0.204,0.615,3.2809999999999997,Modoc_CA
0.011000000000000001,0.026000000000000002,0.012,0.07,0.88,3.7800000000000002,Mono_CA
0.023,0.006,0.066,0.141,0.763,3.613,Monterey_CA
0.017,0.026000000000000002,0.033,0.149,0.773,3.6310000000000002,Napa_CA
0.003,0.054000000000000006,0.084,0.177,0.682,3.481,Nevada_CA
0.023,0.021,0.046,0.156,0.754,3.597,Orange_CA
0.012,0.023,0.07200000000000001,0.201,0.693,3.542,Placer_CA
0.063,0.067,0.053,0.146,0.6709999999999999,3.295,Plumas_CA
0.026000000000000002,0.013999999999999999,0.040999999999999995,0.11599999999999999,0.8029999999999999,3.6559999999999997,Riverside_CA
0.025,0.027999999999999997,0.062,0.16399999999999998,0.722,3.532,Sacramento_CA
0.018000000000000002,0.004,0.063,0.175,0.7390000000000001,3.611,San Benito_CA
0.027000000000000003,0.022000000000000002,0.048,0.134,0.768,3.592,San Bernardino_CA
0.017,0.023,0.034,0.126,0.8,3.669,San Diego_CA
